TargetName,Sample,Tumor
LUCAT1 KD 4121 | 001 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 002 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 003 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 004 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 005 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 006 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 007 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 008 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 009 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 010 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 011 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 012 | Full ROI,LUCAT1 KD,TUMOR_WHOLE
LUCAT1 KD 4121 | 013 | Full ROI,CONTROL,TUMOR_EDGE
LUCAT1 KD 4121 | 014 | Full ROI,CONTROL,TUMOR_EDGE
LUCAT1 KD 4121 | 015 | Full ROI,CONTROL,TUMOR_EDGE
LUCAT1 KD 4121 | 016 | Full ROI,CONTROL,TUMOR_EDGE
LUCAT1 KD 4121 | 017 | Full ROI,CONTROL,TUMOR_EDGE
LUCAT1 KD 4121 | 018 | Full ROI,CONTROL,TUMOR_EDGE
LUCAT1 KD 4121 | 019 | Full ROI,CONTROL,TUMOR_INSIDE
LUCAT1 KD 4121 | 020 | Full ROI,CONTROL,TUMOR_INSIDE
LUCAT1 KD 4121 | 021 | Full ROI,CONTROL,TUMOR_INSIDE
LUCAT1 KD 4121 | 022 | Full ROI,CONTROL,TUMOR_INSIDE
LUCAT1 KD 4121 | 023 | Full ROI,CONTROL,TUMOR_INSIDE
LUCAT1 KD 4121 | 024 | Full ROI,CONTROL,TUMOR_INSIDE